title,uploader,webpage_url,id,duration,collected_at
African Safari,,https://www.youtube.com/watch?v=F4GdgQBJFv0,F4GdgQBJFv0,50.0,2025-10-09T07:22:05+00:00
Painting Elephants,,https://www.youtube.com/watch?v=vYl0SauRYAc,vYl0SauRYAc,65.0,2025-10-09T07:22:05+00:00
"May 22, 2011 6:13 PM",,https://www.youtube.com/watch?v=Otwe2njy4cA,Otwe2njy4cA,44.0,2025-10-09T07:22:05+00:00
Gracie,,https://www.youtube.com/watch?v=BG5WlG1CBb8,BG5WlG1CBb8,3.0,2025-10-09T07:22:05+00:00
Gracie and Daddy,,https://www.youtube.com/watch?v=gH8EzkQdy88,gH8EzkQdy88,2.0,2025-10-09T07:22:05+00:00
Driving Lessons,,https://www.youtube.com/watch?v=LHSZ8UWB55Y,LHSZ8UWB55Y,107.0,2025-10-09T07:22:05+00:00
VID_20130716_142551_754.mp4,,https://www.youtube.com/shorts/5dI49CwtymA,5dI49CwtymA,,2025-10-09T07:22:05+00:00
